,firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,gender,carrier
91,name92,lastname92,December,8,1997,BS Management Engineering,+639174491492,Male,Globe
92,name93,lastname93,June,14,1998,BS Information Technology Entrepreneurship,+639271961085,Female,Globe
93,name94,lastname94,November,24,1997,BS Legal Management,+639187681582,Male,Smart
94,name95,lastname95,September,6,2001,BS Communications Technology Management,+639271119326,Female,Globe
95,name96,lastname96,March,16,1999,BS Communications Technology Management,+639176991883,Male,Globe
96,name97,lastname97,January,19,1997,BS Management,+639181491873,Female,Smart
97,name98,lastname98,January,10,1998,BS Information Technology Entrepreneurship,+639276151107,Male,Globe
98,name99,lastname99,May,12,1998,BS Communications Technology Management,+639274408773,Male,Globe
99,name100,lastname100,May,10,1999,BS Management,+639277872993,Female,Globe
100,name101,lastname101,April,2,1997,BS Communications Technology Management,+639279523919,Female,Globe
101,name102,lastname102,August,14,2001,BS Legal Management,+639184547163,Male,Smart
102,name103,lastname103,December,16,2000,BS Management Engineering,+639271488884,Male,Globe
103,name104,lastname104,July,16,2001,BS Communications Technology Management,+639188523413,Female,Smart
104,name105,lastname105,March,5,1999,BS Information Technology Entrepreneurship,+639175027912,Male,Globe
105,name106,lastname106,August,25,1997,BS Communications Technology Management,+639275101038,Female,Globe
106,name107,lastname107,April,21,2001,BS Management,+639279581514,Female,Globe
107,name108,lastname108,May,14,1999,BS Management,+639187974867,Male,Smart
108,name109,lastname109,August,15,1998,BS Management Engineering,+639176153478,Female,Globe
109,name110,lastname110,January,8,1999,BS Management Engineering,+639186615521,Male,Smart
110,name111,lastname111,December,22,2001,BS Management Engineering,+639184011101,Female,Smart
111,name112,lastname112,May,19,1997,BS Management,+639184699048,Female,Smart
112,name113,lastname113,May,27,1997,BS Information Technology Entrepreneurship,+639173895698,Female,Globe
113,name114,lastname114,August,22,1999,BS Communications Technology Management,+639179466274,Female,Globe
114,name115,lastname115,March,26,1998,BS Information Technology Entrepreneurship,+639172368755,Male,Globe
115,name116,lastname116,July,19,1997,BS Information Technology Entrepreneurship,+639182691384,Female,Smart
116,name117,lastname117,January,11,1997,BS Legal Management,+639189532016,Male,Smart
117,name118,lastname118,February,4,1999,BS Management Engineering,+639187521689,Female,Smart
118,name119,lastname119,December,27,1997,BS Legal Management,+639272593515,Male,Globe
119,name120,lastname120,February,3,1997,BS Legal Management,+639187322042,Female,Smart
120,name121,lastname121,March,5,2000,BS Legal Management,+639181371929,Female,Smart
121,name122,lastname122,March,1,2001,BS Legal Management,+639178985495,Female,Globe
122,name123,lastname123,April,23,1999,BS Legal Management,+639184792283,Female,Smart
123,name124,lastname124,February,2,1999,BS Management,+639174288800,Male,Globe
124,name125,lastname125,November,24,1998,BS Legal Management,+639176418280,Female,Globe
125,name126,lastname126,June,4,2000,BS Legal Management,+639272729008,Male,Globe
126,name127,lastname127,March,3,2000,BS Legal Management,+639172183720,Male,Globe
127,name128,lastname128,June,20,1998,BS Legal Management,+639188723714,Female,Smart
128,name129,lastname129,October,25,1998,BS Management Engineering,+639273995328,Male,Globe
129,name130,lastname130,July,18,2000,BS Management,+639273848421,Female,Globe
130,name131,lastname131,February,23,1999,BS Communications Technology Management,+639272789317,Female,Globe
131,name132,lastname132,September,10,1999,BS Legal Management,+639274503540,Male,Globe
132,name133,lastname133,April,18,1999,BS Communications Technology Management,+639271507228,Female,Globe
133,name134,lastname134,May,7,2000,BS Management,+639189955243,Female,Smart
134,name135,lastname135,October,3,1999,BS Communications Technology Management,+639279499628,Female,Globe
135,name136,lastname136,October,5,2000,BS Management,+639275581218,Male,Globe
136,name137,lastname137,June,5,1998,BS Management Engineering,+639181917948,Female,Smart
137,name138,lastname138,February,5,1997,BS Information Technology Entrepreneurship,+639186366121,Male,Smart
138,name139,lastname139,April,8,1999,BS Information Technology Entrepreneurship,+639185323276,Male,Smart
139,name140,lastname140,September,2,1999,BS Management Engineering,+639277951469,Male,Globe
140,name141,lastname141,June,8,1998,BS Legal Management,+639274308948,Male,Globe
141,name142,lastname142,December,3,1999,BS Legal Management,+639186594663,Female,Smart
142,name143,lastname143,November,15,1999,BS Management Engineering,+639277168308,Female,Globe
143,name144,lastname144,October,14,1998,BS Management Engineering,+639178554111,Male,Globe
144,name145,lastname145,February,9,2001,BS Management,+639182562335,Male,Smart
145,name146,lastname146,September,11,1998,BS Management,+639272488520,Male,Globe
146,name147,lastname147,December,6,1999,BS Legal Management,+639178569506,Male,Globe
147,name148,lastname148,November,13,2000,BS Legal Management,+639279892750,Female,Globe
148,name149,lastname149,September,18,1997,BS Management,+639271244294,Male,Globe
149,name150,lastname150,August,5,1997,BS Management Engineering,+639181625544,Female,Smart
150,name151,lastname151,May,17,1998,BS Legal Management,+639184692092,Female,Smart
151,name152,lastname152,March,15,1999,BS Legal Management,+639271451261,Female,Globe
152,name153,lastname153,November,2,1999,BS Management Engineering,+639274152246,Male,Globe
153,name154,lastname154,August,2,1999,BS Management,+639183319863,Female,Smart
154,name155,lastname155,December,14,1999,BS Legal Management,+639186492584,Female,Smart
155,name156,lastname156,April,3,1998,BS Management,+639181467027,Female,Smart
156,name157,lastname157,August,13,1997,BS Management Engineering,+639274759634,Male,Globe
157,name158,lastname158,January,28,1999,BS Legal Management,+639275946138,Female,Globe
158,name159,lastname159,October,12,1998,BS Management,+639276535975,Female,Globe
159,name160,lastname160,December,25,2000,BS Communications Technology Management,+639171376557,Female,Globe
160,name161,lastname161,January,1,2000,BS Communications Technology Management,+639172893619,Male,Globe
161,name162,lastname162,January,26,2000,BS Communications Technology Management,+639173886944,Male,Globe
162,name163,lastname163,April,17,1999,BS Information Technology Entrepreneurship,+639173073272,Female,Globe
163,name164,lastname164,May,25,1997,BS Information Technology Entrepreneurship,+639179259571,Male,Globe
164,name165,lastname165,August,12,1998,BS Management,+639182812519,Male,Smart
165,name166,lastname166,February,16,1999,BS Management Engineering,+639185369523,Female,Smart
166,name167,lastname167,April,4,2000,BS Management,+639187053266,Female,Smart
167,name168,lastname168,July,5,1997,BS Management Engineering,+639275111039,Female,Globe
168,name169,lastname169,April,13,1998,BS Management Engineering,+639182843059,Female,Smart
169,name170,lastname170,June,9,2000,BS Information Technology Entrepreneurship,+639277977430,Female,Globe
170,name171,lastname171,August,17,1997,BS Legal Management,+639182274954,Female,Smart
171,name172,lastname172,September,24,2000,BS Communications Technology Management,+639173081448,Female,Globe
172,name173,lastname173,August,13,1998,BS Management Engineering,+639171806600,Female,Globe
173,name174,lastname174,October,19,1998,BS Management Engineering,+639271855392,Male,Globe
174,name175,lastname175,June,1,1999,BS Management Engineering,+639174921000,Female,Globe
175,name176,lastname176,June,9,1999,BS Information Technology Entrepreneurship,+639277872528,Female,Globe
176,name177,lastname177,July,1,2001,BS Management Engineering,+639276147614,Male,Globe
177,name178,lastname178,June,12,2001,BS Information Technology Entrepreneurship,+639177359355,Female,Globe
178,name179,lastname179,May,4,1998,BS Legal Management,+639277287081,Male,Globe
179,name180,lastname180,March,22,1999,BS Information Technology Entrepreneurship,+639172574982,Male,Globe
180,name181,lastname181,March,27,1999,BS Management Engineering,+639177446240,Female,Globe
181,name182,lastname182,June,2,1998,BS Communications Technology Management,+639175027471,Male,Globe
182,name183,lastname183,June,17,1997,BS Management,+639185822278,Female,Smart
183,name184,lastname184,December,23,1998,BS Information Technology Entrepreneurship,+639278914782,Female,Globe
184,name185,lastname185,April,18,1997,BS Management Engineering,+639172485615,Male,Globe
185,name186,lastname186,November,19,1997,BS Management Engineering,+639188593958,Female,Smart
186,name187,lastname187,April,18,2001,BS Legal Management,+639175755267,Male,Globe
187,name188,lastname188,September,2,1997,BS Management Engineering,+639186214437,Male,Smart
188,name189,lastname189,December,7,2000,BS Management,+639184478973,Female,Smart
189,name190,lastname190,July,6,1997,BS Management,+639184092087,Male,Smart
190,name191,lastname191,May,7,1999,BS Legal Management,+639187421522,Male,Smart
191,name192,lastname192,July,9,1999,BS Information Technology Entrepreneurship,+639172225936,Male,Globe
192,name193,lastname193,May,25,1997,BS Management Engineering,+639187306896,Female,Smart
193,name194,lastname194,September,2,1998,BS Legal Management,+639173998033,Male,Globe
194,name195,lastname195,July,15,2001,BS Management Engineering,+639178189641,Female,Globe
195,name196,lastname196,May,6,2001,BS Management Engineering,+639274868768,Male,Globe
196,name197,lastname197,October,24,2001,BS Management Engineering,+639187088549,Female,Smart
197,name198,lastname198,June,15,1997,BS Legal Management,+639276426498,Female,Globe
198,name199,lastname199,January,4,1999,BS Communications Technology Management,+639275363811,Female,Globe
199,name200,lastname200,November,13,1998,BS Management,+639186217426,Female,Smart
200,name201,lastname201,October,27,1997,BS Management,+639176819326,Female,Globe
201,name202,lastname202,April,15,2000,BS Management,+639183415085,Female,Smart
202,name203,lastname203,March,25,1998,BS Management Engineering,+639184195644,Female,Smart
203,name204,lastname204,November,4,1997,BS Information Technology Entrepreneurship,+639273835918,Male,Globe
204,name205,lastname205,March,12,2000,BS Management,+639171734981,Female,Globe
205,name206,lastname206,December,19,1997,BS Management Engineering,+639173094697,Female,Globe
206,name207,lastname207,November,27,2000,BS Information Technology Entrepreneurship,+639187445680,Male,Smart
207,name208,lastname208,October,20,1999,BS Communications Technology Management,+639183143702,Male,Smart
208,name209,lastname209,March,16,1999,BS Communications Technology Management,+639177648372,Female,Globe
209,name210,lastname210,April,2,1998,BS Information Technology Entrepreneurship,+639277507712,Female,Globe
210,name211,lastname211,January,26,1999,BS Management,+639277447095,Female,Globe
211,name212,lastname212,November,2,1999,BS Management,+639176005892,Male,Globe
212,name213,lastname213,August,23,1999,BS Management,+639184824436,Female,Smart
213,name214,lastname214,June,8,1999,BS Communications Technology Management,+639172291656,Female,Globe
214,name215,lastname215,November,1,1998,BS Communications Technology Management,+639171297511,Female,Globe
215,name216,lastname216,October,23,1999,BS Legal Management,+639279316222,Female,Globe
216,name217,lastname217,May,2,1998,BS Management Engineering,+639175108517,Male,Globe
217,name218,lastname218,April,19,2001,BS Communications Technology Management,+639278599615,Female,Globe
218,name219,lastname219,May,28,1997,BS Information Technology Entrepreneurship,+639188833812,Female,Smart
219,name220,lastname220,March,25,2001,BS Management,+639278553696,Female,Globe
220,name221,lastname221,July,12,2001,BS Management Engineering,+639178691592,Male,Globe
221,name222,lastname222,September,5,1999,BS Legal Management,+639273902398,Male,Globe
222,name223,lastname223,February,9,1997,BS Management,+639182503159,Male,Smart
223,name224,lastname224,December,18,2001,BS Management,+639179141992,Female,Globe
224,name225,lastname225,February,27,1998,BS Management Engineering,+639171681549,Male,Globe
225,name226,lastname226,March,12,1997,BS Legal Management,+639188129824,Female,Smart
226,name227,lastname227,October,8,1997,BS Management,+639186763675,Female,Smart
227,name228,lastname228,November,16,1999,BS Management,+639276169286,Female,Globe
228,name229,lastname229,June,11,1999,BS Legal Management,+639279758823,Male,Globe
229,name230,lastname230,December,4,1997,BS Communications Technology Management,+639175592469,Female,Globe
230,name231,lastname231,May,22,1998,BS Information Technology Entrepreneurship,+639275972823,Male,Globe
231,name232,lastname232,April,17,2000,BS Management,+639174189979,Male,Globe
232,name233,lastname233,June,13,2001,BS Management Engineering,+639275234422,Male,Globe
233,name234,lastname234,February,6,1997,BS Communications Technology Management,+639179116706,Male,Globe
234,name235,lastname235,July,7,1999,BS Management,+639186569527,Male,Smart
235,name236,lastname236,October,23,1998,BS Management,+639172513024,Male,Globe
236,name237,lastname237,December,14,1998,BS Legal Management,+639279408616,Male,Globe
237,name238,lastname238,March,4,2000,BS Communications Technology Management,+639172613868,Male,Globe
238,name239,lastname239,February,5,1997,BS Legal Management,+639279762990,Male,Globe
239,name240,lastname240,April,21,2001,BS Legal Management,+639179622388,Male,Globe
240,name241,lastname241,September,7,2000,BS Communications Technology Management,+639175603594,Female,Globe
241,name242,lastname242,June,1,1998,BS Information Technology Entrepreneurship,+639172676749,Female,Globe
242,name243,lastname243,November,19,1998,BS Communications Technology Management,+639183889243,Male,Smart
243,name244,lastname244,January,1,2000,BS Communications Technology Management,+639184188388,Male,Smart
244,name245,lastname245,March,5,1999,BS Management Engineering,+639183874071,Female,Smart
245,name246,lastname246,January,26,1998,BS Communications Technology Management,+639188712841,Female,Smart
246,name247,lastname247,August,3,1998,BS Management,+639172423611,Female,Globe
247,name248,lastname248,March,22,1998,BS Legal Management,+639172132389,Male,Globe
248,name249,lastname249,December,9,2000,BS Management Engineering,+639175483044,Male,Globe
249,name250,lastname250,May,24,2001,BS Management Engineering,+639272646574,Female,Globe
250,name251,lastname251,January,9,2000,BS Communications Technology Management,+639175828763,Female,Globe
251,name252,lastname252,December,6,2001,BS Management,+639278006849,Male,Globe
252,name253,lastname253,April,18,1997,BS Management Engineering,+639184142565,Female,Smart
253,name254,lastname254,August,3,1997,BS Communications Technology Management,+639179846143,Female,Globe
254,name255,lastname255,January,6,2001,BS Management Engineering,+639272348693,Male,Globe
255,name256,lastname256,December,7,1997,BS Management,+639189449432,Male,Smart
256,name257,lastname257,April,19,1997,BS Information Technology Entrepreneurship,+639179968937,Female,Globe
257,name258,lastname258,June,7,2001,BS Information Technology Entrepreneurship,+639171697326,Female,Globe
258,name259,lastname259,March,20,1999,BS Information Technology Entrepreneurship,+639279161852,Male,Globe
259,name260,lastname260,November,15,2000,BS Communications Technology Management,+639178435692,Male,Globe
260,name261,lastname261,June,4,1997,BS Legal Management,+639184567658,Male,Smart
261,name262,lastname262,July,26,1998,BS Communications Technology Management,+639177714152,Female,Globe
262,name263,lastname263,January,1,2000,BS Management,+639177734858,Male,Globe
263,name264,lastname264,November,1,2001,BS Information Technology Entrepreneurship,+639181086505,Male,Smart
264,name265,lastname265,November,26,2001,BS Management,+639183329306,Female,Smart
265,name266,lastname266,December,5,1997,BS Management,+639175518922,Female,Globe
266,name267,lastname267,July,5,1999,BS Legal Management,+639175379153,Male,Globe
267,name268,lastname268,October,21,1999,BS Management Engineering,+639273739092,Female,Globe
268,name269,lastname269,October,18,2001,BS Legal Management,+639184417553,Female,Smart
269,name270,lastname270,April,24,1998,BS Information Technology Entrepreneurship,+639273958754,Female,Globe
270,name271,lastname271,March,25,1997,BS Management Engineering,+639183513825,Female,Smart
271,name272,lastname272,July,27,1997,BS Information Technology Entrepreneurship,+639172751598,Female,Globe
272,name273,lastname273,August,7,1999,BS Communications Technology Management,+639275116858,Female,Globe
273,name274,lastname274,January,5,1997,BS Management,+639175805437,Female,Globe
274,name275,lastname275,April,20,1998,BS Communications Technology Management,+639174189759,Male,Globe
275,name276,lastname276,January,12,2001,BS Information Technology Entrepreneurship,+639175593566,Female,Globe
276,name277,lastname277,December,24,1999,BS Legal Management,+639274163898,Female,Globe
277,name278,lastname278,February,8,1997,BS Management,+639177356446,Female,Globe
278,name279,lastname279,October,12,1998,BS Legal Management,+639273594345,Female,Globe
279,name280,lastname280,November,15,2000,BS Management,+639181839884,Female,Smart
280,name281,lastname281,February,12,1997,BS Management,+639185412404,Male,Smart
281,name282,lastname282,March,23,1998,BS Management,+639183931948,Male,Smart
282,name283,lastname283,November,3,1997,BS Information Technology Entrepreneurship,+639189273119,Female,Smart
283,name284,lastname284,August,13,1999,BS Communications Technology Management,+639278684707,Male,Globe
284,name285,lastname285,September,17,1998,BS Communications Technology Management,+639274198095,Male,Globe
285,name286,lastname286,December,28,1999,BS Information Technology Entrepreneurship,+639279078179,Male,Globe
286,name287,lastname287,February,18,1998,BS Communications Technology Management,+639179925274,Male,Globe
287,name288,lastname288,April,4,2001,BS Information Technology Entrepreneurship,+639175276893,Female,Globe
288,name289,lastname289,October,15,1997,BS Management Engineering,+639177569357,Male,Globe
289,name290,lastname290,July,8,1997,BS Management Engineering,+639189274291,Female,Smart
290,name291,lastname291,December,27,2000,BS Management,+639189741369,Female,Smart
291,name292,lastname292,January,25,1999,BS Communications Technology Management,+639178788313,Female,Globe
292,name293,lastname293,March,1,1999,BS Management Engineering,+639276084808,Male,Globe
293,name294,lastname294,January,14,1998,BS Legal Management,+639189838521,Male,Smart
294,name295,lastname295,November,19,1999,BS Information Technology Entrepreneurship,+639183455057,Male,Smart
295,name296,lastname296,April,26,1999,BS Management,+639274162499,Male,Globe
296,name297,lastname297,November,10,2000,BS Legal Management,+639176201837,Female,Globe
297,name298,lastname298,January,8,1999,BS Management,+639272913676,Female,Globe
298,name299,lastname299,February,18,1998,BS Management,+639273486668,Male,Globe
299,name300,lastname300,May,22,1997,BS Communications Technology Management,+639188155153,Male,Smart
300,name301,lastname301,April,27,1999,BS Legal Management,+639272855378,Female,Globe
301,name302,lastname302,May,1,2001,BS Legal Management,+639185113241,Female,Smart
302,name303,lastname303,December,18,1997,BS Legal Management,+639177391115,Male,Globe
303,name304,lastname304,September,18,2000,BS Communications Technology Management,+639185337507,Male,Smart
304,name305,lastname305,January,15,1997,BS Management,+639176418911,Male,Globe
305,name306,lastname306,March,3,1998,BS Legal Management,+639171553009,Female,Globe
306,name307,lastname307,February,12,2000,BS Information Technology Entrepreneurship,+639183866738,Male,Smart
307,name308,lastname308,December,13,1998,BS Communications Technology Management,+639278276122,Male,Globe
308,name309,lastname309,November,8,1998,BS Management,+639171325014,Male,Globe
309,name310,lastname310,August,21,1998,BS Information Technology Entrepreneurship,+639182251879,Male,Smart
310,name311,lastname311,June,23,1998,BS Management Engineering,+639187044147,Male,Smart
311,name312,lastname312,May,16,1999,BS Management Engineering,+639182848832,Female,Smart
312,name313,lastname313,August,8,1997,BS Information Technology Entrepreneurship,+639173799404,Female,Globe
313,name314,lastname314,July,19,1998,BS Management,+639181315008,Male,Smart
314,name315,lastname315,December,19,1998,BS Legal Management,+639176562606,Female,Globe
315,name316,lastname316,April,14,2001,BS Communications Technology Management,+639272122224,Male,Globe
316,name317,lastname317,September,16,1997,BS Management Engineering,+639184584727,Male,Smart
317,name318,lastname318,March,5,1999,BS Communications Technology Management,+639174625719,Male,Globe
318,name319,lastname319,August,10,2000,BS Management Engineering,+639272391604,Male,Globe
319,name320,lastname320,July,21,1997,BS Management,+639178548646,Male,Globe
320,name321,lastname321,August,26,1997,BS Communications Technology Management,+639274147766,Female,Globe
321,name322,lastname322,June,14,1999,BS Legal Management,+639186007855,Female,Smart
322,name323,lastname323,June,8,1998,BS Management,+639173088490,Male,Globe
323,name324,lastname324,July,21,1998,BS Management Engineering,+639187887131,Male,Smart
324,name325,lastname325,March,24,1998,BS Management Engineering,+639175575935,Female,Globe
325,name326,lastname326,February,24,2000,BS Communications Technology Management,+639185613677,Female,Smart
326,name327,lastname327,July,16,1997,BS Information Technology Entrepreneurship,+639176047756,Male,Globe
327,name328,lastname328,June,1,1999,BS Information Technology Entrepreneurship,+639179925461,Female,Globe
328,name329,lastname329,December,5,1997,BS Information Technology Entrepreneurship,+639184518833,Female,Smart
329,name330,lastname330,July,3,1998,BS Information Technology Entrepreneurship,+639181589284,Male,Smart
330,name331,lastname331,January,26,1998,BS Management,+639271465990,Female,Globe
331,name332,lastname332,April,18,1999,BS Legal Management,+639182994084,Female,Smart
332,name333,lastname333,June,17,2000,BS Communications Technology Management,+639277793123,Male,Globe
333,name334,lastname334,January,2,1998,BS Legal Management,+639271821332,Male,Globe
334,name335,lastname335,May,21,1999,BS Communications Technology Management,+639181695036,Female,Smart
335,name336,lastname336,April,11,1999,BS Information Technology Entrepreneurship,+639181523167,Male,Smart
336,name337,lastname337,December,8,1998,BS Management,+639275038110,Male,Globe
337,name338,lastname338,September,20,2001,BS Communications Technology Management,+639277462862,Male,Globe
338,name339,lastname339,April,22,2000,BS Information Technology Entrepreneurship,+639182332323,Female,Smart
339,name340,lastname340,June,4,1999,BS Legal Management,+639176853086,Female,Globe
340,name341,lastname341,August,22,1999,BS Management,+639179496688,Female,Globe
341,name342,lastname342,July,2,1999,BS Management,+639173067389,Male,Globe
342,name343,lastname343,December,18,1998,BS Legal Management,+639174311238,Male,Globe
343,name344,lastname344,July,13,2000,BS Information Technology Entrepreneurship,+639181857288,Male,Smart
344,name345,lastname345,April,19,1999,BS Information Technology Entrepreneurship,+639182698208,Male,Smart
345,name346,lastname346,July,19,2000,BS Information Technology Entrepreneurship,+639178168886,Female,Globe
346,name347,lastname347,March,21,1998,BS Information Technology Entrepreneurship,+639183864602,Male,Smart
347,name348,lastname348,January,13,1997,BS Information Technology Entrepreneurship,+639177284754,Female,Globe
348,name349,lastname349,February,18,1999,BS Management Engineering,+639186368281,Female,Smart
349,name350,lastname350,September,17,1997,BS Management Engineering,+639173016396,Male,Globe
